Time,Value
"0,000000","2,337374E+2"
"0,010000","2,089104E+2"
"0,020000","1,096022E+2"
"0,030000","8,477520E+1"
"0,040000","2,337374E+2"
"0,050000","1,592563E+2"
"0,060000","1,344293E+2"
"0,070000","2,337374E+2"
"0,080000","1,840834E+2"
"0,090000","2,089104E+2"
"0,100000","1,592563E+2"
"0,110000","2,337374E+2"
"0,120000","1,592563E+2"
"0,130000","8,477520E+1"
"0,140000","2,089104E+2"
"0,150000","1,840834E+2"
"0,160000","2,337374E+2"
"0,170000","1,344293E+2"
"0,180000","1,344293E+2"
"0,190000","2,337374E+2"
"0,200000","5,994817E+1"
"0,210000","2,337374E+2"
"0,220000","1,592563E+2"
"0,230000","8,477520E+1"
"0,240000","1,592563E+2"
"0,250000","2,089104E+2"
"0,260000","1,592563E+2"
"0,270000","2,089104E+2"
"0,280000","1,344293E+2"
"0,290000","1,096022E+2"
"0,300000","2,089104E+2"
"0,310000","2,337374E+2"
"0,320000","1,592563E+2"
"0,330000","1,840834E+2"
"0,340000","2,089104E+2"
"0,350000","1,096022E+2"
"0,360000","2,089104E+2"
"0,370000","1,840834E+2"
"0,380000","1,592563E+2"
"0,390000","2,337374E+2"
"0,400000","2,585645E+2"
"0,410000","1,840834E+2"
"0,420000","1,096022E+2"
"0,430000","1,840834E+2"
"0,440000","2,089104E+2"
"0,450000","1,592563E+2"
"0,460000","8,477520E+1"
"0,470000","2,337374E+2"
"0,480000","2,089104E+2"
"0,490000","1,592563E+2"
"0,500000","8,477520E+1"
"0,510000","1,592563E+2"
"0,520000","1,840834E+2"
"0,530000","8,477520E+1"
"0,540000","2,337374E+2"
"0,550000","1,344293E+2"
"0,560000","1,096022E+2"
"0,570000","1,344293E+2"
"0,580000","1,840834E+2"
"0,590000","2,585645E+2"
"0,600000","1,592563E+2"
"0,610000","1,096022E+2"
"0,620000","1,840834E+2"
"0,630000","5,994817E+1"
"0,640000","2,585645E+2"
"0,650000","2,337374E+2"
"0,660000","1,840834E+2"
"0,670000","1,592563E+2"
"0,680000","1,592563E+2"
"0,690000","1,592563E+2"
"0,700000","1,592563E+2"
"0,710000","1,840834E+2"
"0,720000","8,477520E+1"
"0,730000","1,840834E+2"
"0,740000","2,337374E+2"
"0,750000","1,592563E+2"
"0,760000","1,096022E+2"
"0,770000","1,344293E+2"
"0,780000","2,337374E+2"
"0,790000","1,344293E+2"
"0,800000","1,592563E+2"
"0,810000","1,592563E+2"
"0,820000","1,096022E+2"
"0,830000","1,344293E+2"
"0,840000","1,592563E+2"
"0,850000","1,840834E+2"
"0,860000","2,585645E+2"
"0,870000","2,337374E+2"
"0,880000","1,840834E+2"
"0,890000","1,840834E+2"
"0,900000","1,096022E+2"
"0,910000","1,592563E+2"
"0,920000","2,337374E+2"
"0,930000","1,840834E+2"
"0,940000","1,096022E+2"
"0,950000","1,592563E+2"
"0,960000","1,840834E+2"
"0,970000","2,585645E+2"
"0,980000","8,477520E+1"
"0,990000","5,994817E+1"
"1,000000","1,096022E+2"
"1,010000","1,840834E+2"
"1,020000","2,089104E+2"
"1,030000","8,477520E+1"
"1,040000","2,337374E+2"
"1,050000","1,096022E+2"
"1,060000","1,840834E+2"
"1,070000","1,096022E+2"
"1,080000","2,585645E+2"
"1,090000","1,840834E+2"
"1,100000","1,344293E+2"
"1,110000","2,089104E+2"
"1,120000","1,592563E+2"
"1,130000","1,344293E+2"
"1,140000","1,592563E+2"
"1,150000","1,840834E+2"
"1,160000","1,592563E+2"
"1,170000","1,344293E+2"
"1,180000","1,840834E+2"
"1,190000","2,337374E+2"
"1,200000","1,592563E+2"
"1,210000","1,096022E+2"
"1,220000","2,337374E+2"
"1,230000","1,840834E+2"
"1,240000","1,840834E+2"
"1,250000","1,840834E+2"
"1,260000","1,840834E+2"
"1,270000","1,840834E+2"
"1,280000","2,089104E+2"
"1,290000","1,592563E+2"
"1,300000","1,344293E+2"
"1,310000","1,840834E+2"
"1,320000","1,840834E+2"
"1,330000","1,096022E+2"
"1,340000","2,337374E+2"
"1,350000","1,096022E+2"
"1,360000","1,592563E+2"
"1,370000","2,337374E+2"
"1,380000","1,096022E+2"
"1,390000","2,089104E+2"
"1,400000","1,840834E+2"
"1,410000","1,592563E+2"
"1,420000","1,344293E+2"
"1,430000","1,592563E+2"
"1,440000","1,592563E+2"
"1,450000","2,089104E+2"
"1,460000","1,096022E+2"
"1,470000","1,840834E+2"
"1,480000","1,840834E+2"
"1,490000","1,840834E+2"
"1,500000","8,477520E+1"
"1,510000","1,840834E+2"
"1,520000","2,585645E+2"
"1,530000","1,840834E+2"
"1,540000","1,096022E+2"
"1,550000","1,840834E+2"
"1,560000","1,344293E+2"
"1,570000","1,096022E+2"
"1,580000","1,592563E+2"
"1,590000","1,840834E+2"
"1,600000","1,840834E+2"
"1,610000","2,585645E+2"
"1,620000","1,592563E+2"
"1,630000","1,096022E+2"
"1,640000","2,337374E+2"
"1,650000","1,592563E+2"
"1,660000","1,592563E+2"
"1,670000","1,840834E+2"
"1,680000","8,477520E+1"
"1,690000","2,337374E+2"
"1,700000","1,840834E+2"
"1,710000","1,840834E+2"
"1,720000","1,840834E+2"
"1,730000","1,592563E+2"
"1,740000","1,592563E+2"
"1,750000","1,096022E+2"
"1,760000","2,089104E+2"
"1,770000","1,096022E+2"
"1,780000","1,840834E+2"
"1,790000","1,592563E+2"
"1,800000","1,096022E+2"
"1,810000","2,337374E+2"
"1,820000","1,592563E+2"
"1,830000","1,840834E+2"
"1,840000","1,592563E+2"
"1,850000","1,840834E+2"
"1,860000","1,592563E+2"
"1,870000","1,592563E+2"
"1,880000","1,592563E+2"
"1,890000","1,840834E+2"
"1,900000","1,840834E+2"
"1,910000","2,337374E+2"
"1,920000","1,096022E+2"
"1,930000","1,840834E+2"
"1,940000","1,840834E+2"
"1,950000","1,344293E+2"
"1,960000","1,592563E+2"
"1,970000","1,096022E+2"
"1,980000","2,337374E+2"
"1,990000","1,344293E+2"
"2,000000","1,344293E+2"
"2,010000","2,089104E+2"
"2,020000","1,840834E+2"
"2,030000","1,840834E+2"
"2,040000","1,592563E+2"
"2,050000","1,840834E+2"
"2,060000","1,592563E+2"
"2,070000","1,592563E+2"
"2,080000","1,592563E+2"
"2,090000","2,585645E+2"
"2,100000","1,096022E+2"
"2,110000","2,337374E+2"
"2,120000","1,096022E+2"
"2,130000","1,840834E+2"
"2,140000","1,592563E+2"
"2,150000","1,840834E+2"
"2,160000","2,089104E+2"
"2,170000","1,344293E+2"
"2,180000","1,840834E+2"
"2,190000","1,592563E+2"
"2,200000","1,592563E+2"
"2,210000","1,840834E+2"
"2,220000","1,096022E+2"
"2,230000","2,337374E+2"
"2,240000","1,096022E+2"
"2,250000","1,840834E+2"
"2,260000","1,840834E+2"
"2,270000","1,840834E+2"
"2,280000","2,089104E+2"
"2,290000","1,840834E+2"
"2,300000","1,840834E+2"
"2,310000","2,585645E+2"
"2,320000","1,592563E+2"
"2,330000","1,096022E+2"
"2,340000","1,592563E+2"
"2,350000","2,089104E+2"
"2,360000","1,096022E+2"
"2,370000","1,592563E+2"
"2,380000","1,840834E+2"
"2,390000","1,840834E+2"
"2,400000","2,089104E+2"
"2,410000","1,344293E+2"
"2,420000","1,592563E+2"
"2,430000","1,840834E+2"
"2,440000","1,096022E+2"
"2,450000","1,840834E+2"
"2,460000","2,089104E+2"
"2,470000","1,840834E+2"
"2,480000","1,592563E+2"
"2,490000","1,344293E+2"
"2,500000","1,592563E+2"
"2,510000","1,592563E+2"
"2,520000","8,477520E+1"
"2,530000","1,840834E+2"
"2,540000","8,477520E+1"
"2,550000","1,840834E+2"
"2,560000","2,089104E+2"
"2,570000","1,840834E+2"
"2,580000","1,840834E+2"
"2,590000","1,592563E+2"
"2,600000","2,089104E+2"
"2,610000","1,840834E+2"
"2,620000","8,477520E+1"
"2,630000","1,344293E+2"
"2,640000","8,477520E+1"
"2,650000","1,840834E+2"
"2,660000","1,344293E+2"
"2,670000","1,840834E+2"
"2,680000","1,840834E+2"
"2,690000","1,840834E+2"
"2,700000","1,592563E+2"
"2,710000","1,840834E+2"
"2,720000","1,592563E+2"
"2,730000","2,585645E+2"
"2,740000","1,840834E+2"
"2,750000","1,592563E+2"
"2,760000","1,592563E+2"
"2,770000","1,840834E+2"
"2,780000","2,089104E+2"
"2,790000","1,096022E+2"
"2,800000","1,096022E+2"
"2,810000","1,592563E+2"
"2,820000","1,592563E+2"
"2,830000","2,585645E+2"
"2,840000","1,840834E+2"
"2,850000","1,344293E+2"
"2,860000","2,337374E+2"
"2,870000","1,840834E+2"
"2,880000","1,592563E+2"
"2,890000","1,840834E+2"
"2,900000","1,592563E+2"
"2,910000","2,089104E+2"
"2,920000","1,096022E+2"
"2,930000","2,337374E+2"
"2,940000","8,477520E+1"
